bin_id,Q2_min,Q2_max,x_min,x_max,phperp_pi_min,phperp_pi_max,z_pi_min,z_pi_max
261,5.00000000,9.00000000,0.31800000,0.37300000,0.20000000,0.40000000,0.55000000,1.00000000
262,5.00000000,9.00000000,0.31800000,0.37300000,0.40000000,0.60000000,0.00000000,0.15000000
263,5.00000000,9.00000000,0.31800000,0.37300000,0.40000000,0.60000000,0.15000000,0.25000000
264,5.00000000,9.00000000,0.31800000,0.37300000,0.40000000,0.60000000,0.25000000,0.35000000
265,5.00000000,9.00000000,0.31800000,0.37300000,0.40000000,0.60000000,0.35000000,0.55000000
266,5.00000000,9.00000000,0.31800000,0.37300000,0.40000000,0.60000000,0.55000000,1.00000000
267,5.00000000,9.00000000,0.31800000,0.37300000,0.60000000,1.00000000,0.00000000,0.15000000
268,5.00000000,9.00000000,0.31800000,0.37300000,0.60000000,1.00000000,0.15000000,0.25000000
269,5.00000000,9.00000000,0.31800000,0.37300000,0.60000000,1.00000000,0.25000000,0.35000000
270,5.00000000,9.00000000,0.31800000,0.37300000,0.60000000,1.00000000,0.35000000,0.55000000
271,5.00000000,9.00000000,0.31800000,0.37300000,0.60000000,1.00000000,0.55000000,1.00000000
272,5.00000000,9.00000000,0.31800000,0.37300000,1.00000000,3.00000000,0.00000000,0.25000000
273,5.00000000,9.00000000,0.31800000,0.37300000,1.00000000,3.00000000,0.25000000,0.35000000
