bin_id,Q2_min,Q2_max,x_min,x_max,phperp_pim_min,phperp_pim_max,z_pim_min,z_pim_max
221,5.00000000,9.00000000,0.00000000,0.27400000,0.60000000,1.00000000,0.55000000,1.00000000
222,5.00000000,9.00000000,0.00000000,0.27400000,1.00000000,3.00000000,0.00000000,0.25000000
223,5.00000000,9.00000000,0.00000000,0.27400000,1.00000000,3.00000000,0.25000000,0.35000000
224,5.00000000,9.00000000,0.00000000,0.27400000,1.00000000,3.00000000,0.35000000,1.00000000
225,5.00000000,9.00000000,0.27400000,0.31800000,0.00000000,0.20000000,0.00000000,0.15000000
226,5.00000000,9.00000000,0.27400000,0.31800000,0.00000000,0.20000000,0.15000000,0.25000000
227,5.00000000,9.00000000,0.27400000,0.31800000,0.00000000,0.20000000,0.25000000,0.35000000
228,5.00000000,9.00000000,0.27400000,0.31800000,0.00000000,0.20000000,0.35000000,0.55000000
229,5.00000000,9.00000000,0.27400000,0.31800000,0.00000000,0.20000000,0.55000000,1.00000000
230,5.00000000,9.00000000,0.27400000,0.31800000,0.20000000,0.40000000,0.00000000,0.10000000
231,5.00000000,9.00000000,0.27400000,0.31800000,0.20000000,0.40000000,0.10000000,0.15000000
232,5.00000000,9.00000000,0.27400000,0.31800000,0.20000000,0.40000000,0.15000000,0.25000000
233,5.00000000,9.00000000,0.27400000,0.31800000,0.20000000,0.40000000,0.25000000,0.35000000
234,5.00000000,9.00000000,0.27400000,0.31800000,0.20000000,0.40000000,0.35000000,0.55000000
235,5.00000000,9.00000000,0.27400000,0.31800000,0.20000000,0.40000000,0.55000000,1.00000000
236,5.00000000,9.00000000,0.27400000,0.31800000,0.40000000,0.60000000,0.00000000,0.10000000
237,5.00000000,9.00000000,0.27400000,0.31800000,0.40000000,0.60000000,0.10000000,0.15000000
238,5.00000000,9.00000000,0.27400000,0.31800000,0.40000000,0.60000000,0.15000000,0.25000000
239,5.00000000,9.00000000,0.27400000,0.31800000,0.40000000,0.60000000,0.25000000,0.35000000
240,5.00000000,9.00000000,0.27400000,0.31800000,0.40000000,0.60000000,0.35000000,0.55000000
241,5.00000000,9.00000000,0.27400000,0.31800000,0.40000000,0.60000000,0.55000000,1.00000000
242,5.00000000,9.00000000,0.27400000,0.31800000,0.60000000,1.00000000,0.00000000,0.15000000
243,5.00000000,9.00000000,0.27400000,0.31800000,0.60000000,1.00000000,0.15000000,0.25000000
244,5.00000000,9.00000000,0.27400000,0.31800000,0.60000000,1.00000000,0.25000000,0.35000000
245,5.00000000,9.00000000,0.27400000,0.31800000,0.60000000,1.00000000,0.35000000,0.55000000
246,5.00000000,9.00000000,0.27400000,0.31800000,0.60000000,1.00000000,0.55000000,1.00000000
247,5.00000000,9.00000000,0.27400000,0.31800000,1.00000000,3.00000000,0.00000000,0.25000000
248,5.00000000,9.00000000,0.27400000,0.31800000,1.00000000,3.00000000,0.25000000,0.35000000
249,5.00000000,9.00000000,0.27400000,0.31800000,1.00000000,3.00000000,0.35000000,1.00000000
250,5.00000000,9.00000000,0.31800000,0.37300000,0.00000000,0.20000000,0.00000000,0.15000000
251,5.00000000,9.00000000,0.31800000,0.37300000,0.00000000,0.20000000,0.15000000,0.25000000
252,5.00000000,9.00000000,0.31800000,0.37300000,0.00000000,0.20000000,0.25000000,0.35000000
253,5.00000000,9.00000000,0.31800000,0.37300000,0.00000000,0.20000000,0.35000000,0.55000000
254,5.00000000,9.00000000,0.31800000,0.37300000,0.00000000,0.20000000,0.55000000,1.00000000
255,5.00000000,9.00000000,0.31800000,0.37300000,0.20000000,0.40000000,0.00000000,0.10000000
256,5.00000000,9.00000000,0.31800000,0.37300000,0.20000000,0.40000000,0.10000000,0.15000000
257,5.00000000,9.00000000,0.31800000,0.37300000,0.20000000,0.40000000,0.15000000,0.25000000
258,5.00000000,9.00000000,0.31800000,0.37300000,0.20000000,0.40000000,0.25000000,0.35000000
259,5.00000000,9.00000000,0.31800000,0.37300000,0.20000000,0.40000000,0.35000000,0.55000000
260,5.00000000,9.00000000,0.31800000,0.37300000,0.20000000,0.40000000,0.55000000,1.00000000
261,5.00000000,9.00000000,0.31800000,0.37300000,0.40000000,0.60000000,0.00000000,0.10000000
262,5.00000000,9.00000000,0.31800000,0.37300000,0.40000000,0.60000000,0.10000000,0.15000000
263,5.00000000,9.00000000,0.31800000,0.37300000,0.40000000,0.60000000,0.15000000,0.25000000
264,5.00000000,9.00000000,0.31800000,0.37300000,0.40000000,0.60000000,0.25000000,0.35000000
265,5.00000000,9.00000000,0.31800000,0.37300000,0.40000000,0.60000000,0.35000000,0.55000000
266,5.00000000,9.00000000,0.31800000,0.37300000,0.40000000,0.60000000,0.55000000,1.00000000
267,5.00000000,9.00000000,0.31800000,0.37300000,0.60000000,1.00000000,0.00000000,0.15000000
268,5.00000000,9.00000000,0.31800000,0.37300000,0.60000000,1.00000000,0.15000000,0.25000000
269,5.00000000,9.00000000,0.31800000,0.37300000,0.60000000,1.00000000,0.25000000,0.35000000
270,5.00000000,9.00000000,0.31800000,0.37300000,0.60000000,1.00000000,0.35000000,0.55000000
